,brand,model_name,screen_size (inch),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
157,HP,HP Laptop,15.6 Inches,"43,999",16 GB,512 GB,AMD Ryzen 7,DOS,4.8 out of 5 stars,9 ratings,Integrated
158,Lenovo,Lenovo 15,15.6 Inches,"23,999",8 GB,256 GB,Celeron,Windows 11 Pro,3.7 out of 5 stars,14 ratings,Integrated
159,no brand,no model_name,no screen_size,249,no ram,no storage,no cpu_model,no operating_system,4.3 out of 5 stars,"17,806 ratings",No description
160,no brand,no model_name,no screen_size,539,no ram,no storage,no cpu_model,no operating_system,4.0 out of 5 stars,"11,779 ratings",No description
161,Dell,Inspiron 14,14 Inches,"34,740",16 GB,512 GB,Core i3,Windows 11 Home,3.1 out of 5 stars,9 ratings,Integrated
162,Tygot,no model_name,no screen_size,289,no ram,no storage,no cpu_model,no operating_system,4.2 out of 5 stars,"2,265 ratings",No description
163,HP,no model_name,no screen_size,"2,499",no ram,no storage,no cpu_model,Windows,4.3 out of 5 stars,"12,403 ratings",No description
164,ASUS,ASUS Vivobook 15,15.6 Inches,"43,990",16 GB,512 GB,Core i5,Windows 11 Home,3.6 out of 5 stars,6 ratings,Integrated
165,Sounce,no model_name,no screen_size,129,no ram,no storage,no cpu_model,no operating_system,4.2 out of 5 stars,"2,797 ratings",No description
166,HP,HP Laptop,35.6 Centimetres,"27,990",8 GB,512 GB,Ryzen 5,DOS,No rating,no rating_review,Integrated
167,Lenovo,Lenovo 15,15.6 Inches,"34,900",16 GB,512 GB,Ryzen 5,Windows 11 Home,4.4 out of 5 stars,3 ratings,Integrated
168,ASUS,ASUS Vivobook 15,15.6 Inches,"32,889",8 GB,512 GB,Core i3,Windows 11 Home,4.2 out of 5 stars,8 ratings,Integrated
169,ASUS,ASUS Vivobook 15,15.6 Inches,"39,990",16 GB,512 GB,Intel Core i3,Windows 11 Home,3.6 out of 5 stars,4 ratings,Integrated
170,ASUS,ROG Strix G16,16 Inches,"1,13,290",16 GB,1 TB,Core i7,Windows 11 Home,4.1 out of 5 stars,11 ratings,Dedicated
171,Lenovo,LOQ,15.6 Inches,"68,490",16 GB,512 GB,no cpu_model,Windows 11 Home,3.7 out of 5 stars,82 ratings,Dedicated
172,VANTRO,RS-NCPI-22,no screen_size,"2,394",no ram,no storage,no cpu_model,no operating_system,4.4 out of 5 stars,"7,255 ratings",No description
173,HP,HP LAPTOP,14 Inches,"54,499",16 GB,512 GB,Core i5,Windows 11 Home,No rating,no rating_review,Integrated
174,HP,HP 15,15.6 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Pro,3.5 out of 5 stars,10 ratings,Integrated
175,HP,HP Laptop 15s-eq2182AU,39.6 Centimetres,"41,500",,512 GB,AMD Ryzen 5 5500U,Windows 11 Home,4.1 out of 5 stars,"1,202 ratings",Integrated
176,Logitech,no model_name,no screen_size,645,no ram,no storage,no cpu_model,mac,4.2 out of 5 stars,"42,871 ratings",No description
177,HP,HP 15,15.6 Inches,"31,980",,512 GB,Amd Ryzen 3 7320U,DOS,3.1 out of 5 stars,13 ratings,Integrated
